Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:

Point (14.0645, 249.8681, 149.8754) connects to:
    Branch Segment 2
    Branch Segment 3

        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz          C       Area
   14.3242    69.0157   149.9768     0.0000     1.0000     0.0000     0.9911    -0.0000    -0.1331    -0.1331     0.0000    -0.9911     0.0000   488.8460
   14.3242    69.5153   149.9768     0.0000     1.0000     0.0000    -0.9913     0.0000     0.1314     0.1314    -0.0000     0.9913     0.0000   488.8483
   14.3242    70.0149   149.9768     0.0000     1.0000     0.0000     0.9914    -0.0000    -0.1312    -0.1312     0.0000    -0.9914     0.0000   488.8508
   14.3243    70.5144   149.9768     0.0000     1.0000     0.0000    -0.9914     0.0000     0.1312     0.1312    -0.0000     0.9914     0.0000   488.8532
   14.3243    71.0140   149.9768     0.0000     1.0000     0.0000     0.9914    -0.0000    -0.1312    -0.1312     0.0000    -0.9914     0.0000   488.8555
   14.3243    71.5136   149.9768     0.0000     1.0000     0.0000    -0.9914     0.0000     0.1312     0.1312    -0.0000     0.9914     0.0000   488.8579
   14.3243    72.0132   149.9768     0.0000     1.0000     0.0000     0.9914    -0.0000    -0.1312    -0.1312     0.0000    -0.9914     0.0000   488.8603
   14.3243    72.5128   149.9768     0.0000     1.0000     0.0000     0.9914    -0.0000    -0.1312    -0.1312     0.0000    -0.9914     0.0000   488.8627
   14.3243    73.0124   149.9768     0.0000     1.0000     0.0000    -0.9914     0.0000     0.1312     0.1312    -0.0000     0.9914     0.0000   488.8652
   14.3243    73.5119   149.9768     0.0000     1.0000     0.0000     0.9914    -0.0000    -0.1312    -0.1312     0.0000    -0.9914     0.0000   488.8676
   14.3243    74.0115   149.9769     0.0000     1.0000     0.0000    -0.9914     0.0000     0.1310     0.1310    -0.0000     0.9914     0.0000   488.8700
   14.3243    74.5111   149.9769     0.0000     1.0000     0.0000     0.9916    -0.0000    -0.1292    -0.1292     0.0000    -0.9916     0.0000   488.8724
   14.3243    75.0107   149.9769     0.0000     1.0000     0.0000    -0.9946     0.0000     0.1035     0.1035    -0.0000     0.9946     0.0000   488.8749
