Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz          C       Area
    6.0009     6.1174   367.4641     0.0237     0.0231    -0.9995     0.9997     0.0042     0.0238     0.0047    -0.9997    -0.0230     0.0006   112.5988
    6.0125     6.1286   366.9645     0.0218     0.0211    -0.9995    -0.7247    -0.6884    -0.0304    -0.6887     0.7250     0.0003     0.0114   112.5890
    6.0241     6.1398   366.4648     0.0279     0.0270    -0.9992     0.7180     0.6950     0.0388     0.6955    -0.7185    -0.0000     0.0450   112.6216
    6.0356     6.1510   365.9652     0.0057     0.0055    -1.0000    -0.7180    -0.6959    -0.0079    -0.6960     0.7181    -0.0000     0.1687   112.5404
    6.0287     6.1443   365.4655    -0.0230    -0.0223    -0.9995     0.7167     0.6967    -0.0321     0.6970    -0.7170    -0.0000     0.0086   112.5950
    6.0176     6.1335   364.9658    -0.0219    -0.0213    -0.9995    -0.7032    -0.7103     0.0306    -0.7106     0.7036     0.0006     0.0026   112.5896
    6.0065     6.1228   364.4662    -0.0221    -0.0214    -0.9995     0.6374     0.7699    -0.0306     0.7702    -0.6378    -0.0034     0.0019   112.5902
    5.9954     6.1120   363.9665    -0.0225    -0.0220    -0.9995    -0.5998    -0.7996     0.0311    -0.7998     0.6002     0.0048     0.0048   112.5927
    5.9844     6.1013   363.4668    -0.0207    -0.0195    -0.9996     0.5958     0.8027    -0.0279     0.8029    -0.5961    -0.0050     0.0175   112.5820
    5.9732     6.0904   362.9672    -0.0284    -0.0299    -0.9991    -0.5952    -0.8026     0.0410    -0.8031     0.5958     0.0050     0.0696   112.6326
    5.9560     6.0714   362.4679    -0.0360    -0.0401    -0.9985     0.5948     0.8021    -0.0536     0.8031    -0.5959    -0.0050     0.0188   112.7003
    5.9388     6.0524   361.9687    -0.0340    -0.0375    -0.9987    -0.5957    -0.8016     0.0504    -0.8025     0.5966     0.0049     0.0057   112.6810
    5.9216     6.0334   361.4694    -0.0343    -0.0378    -0.9987     0.5992     0.7990    -0.0508     0.7999    -0.6002    -0.0047     0.0040   112.6833
    5.9044     6.0144   360.9702    -0.0352    -0.0391    -0.9986    -0.6011    -0.7975     0.0524    -0.7984     0.6021     0.0046     0.0104   112.6926
    5.8872     5.9955   360.4709    -0.0311    -0.0337    -0.9989     0.6015     0.7976    -0.0456     0.7982    -0.6023    -0.0046     0.0377   112.6548
    5.8788     5.9881   359.9716     0.0061     0.0156    -0.9999     0.6023     0.7981     0.0162     0.7983    -0.6023    -0.0046     0.2101   112.5519
    5.8910     6.0080   359.4723     0.0292     0.0462    -0.9985    -0.6014    -0.7971    -0.0545    -0.7984     0.6021     0.0046     0.0565   112.7045
    5.9031     6.0279   358.9729     0.0231     0.0382    -0.9990     0.5996     0.7991     0.0444     0.8000    -0.6000    -0.0045     0.0162   112.6482
    5.9153     6.0478   358.4735     0.0243     0.0398    -0.9989    -0.5854    -0.8094    -0.0465    -0.8104     0.5859     0.0036     0.0084   112.6582
    5.9275     6.0677   357.9742     0.0256     0.0416    -0.9988     0.5720     0.8188     0.0488     0.8199    -0.5725    -0.0029     0.0174   112.6703
    5.9396     6.0876   357.4748     0.0193     0.0326    -0.9993    -0.5704    -0.8205    -0.0378    -0.8212     0.5707     0.0028     0.0613   112.6167
    5.9465     6.0999   356.9751     0.0114     0.0213    -0.9997     0.5804     0.8140     0.0239     0.8142    -0.5805    -0.0030     0.0059   112.5685
    5.9525     6.1109   356.4754     0.0121     0.0222    -0.9997    -0.7168    -0.6969    -0.0241    -0.6972     0.7169     0.0075     0.0014   112.5716
    5.9584     6.1219   355.9756     0.0119     0.0217    -0.9997     0.5098    -0.8602    -0.0126    -0.8602    -0.5095    -0.0214     0.0011   112.5702
    5.9644     6.1329   355.4758     0.0118     0.0227    -0.9997    -0.2511     0.9678     0.0190     0.9679     0.2508     0.0171     0.0049   112.5724
    5.9704     6.1439   354.9761     0.0126     0.0194    -0.9997     0.2352    -0.9718    -0.0159    -0.9719    -0.2349    -0.0168     0.0185   112.5655
    5.9779     6.1483   354.4764     0.0190    -0.0075    -0.9998     0.2332    -0.9724     0.0118    -0.9723    -0.2333    -0.0167     0.0923   112.5590
    5.9890     6.1381   353.9767     0.0230    -0.0240    -0.9994    -0.2311     0.9725    -0.0287     0.9727     0.2316     0.0168     0.0246   112.5975
    6.0000     6.1278   353.4770     0.0219    -0.0195    -0.9996     0.2053    -0.9784     0.0236    -0.9785    -0.2057    -0.0174     0.0061   112.5837
    6.0111     6.1176   352.9773     0.0223    -0.0210    -0.9995     0.9808     0.1941     0.0179     0.1937    -0.9808     0.0249     0.0007   112.5883
    6.0221     6.1073   352.4776     0.0215    -0.0196    -0.9996    -0.5704     0.8209    -0.0284     0.8211     0.5708     0.0065     0.0067   112.5831
    6.0332     6.0971   351.9780     0.0243    -0.0237    -0.9994     0.5517    -0.8334     0.0332    -0.8337    -0.5522    -0.0071     0.0266   112.6002
    6.0472     6.0824   351.4785     0.0318    -0.0351    -0.9989     0.5502    -0.8337     0.0468    -0.8344    -0.5511    -0.0072     0.0279   112.6614
    6.0642     6.0632   350.9792     0.0344    -0.0391    -0.9986    -0.5557     0.8298    -0.0516     0.8307     0.5567     0.0068     0.0086   112.6881
    6.0811     6.0440   350.4800     0.0342    -0.0387    -0.9987     0.5790    -0.8137     0.0513    -0.8146    -0.5800    -0.0054     0.0066   112.6852
    6.0981     6.0249   349.9807     0.0325    -0.0364    -0.9988    -0.5902     0.8058    -0.0486     0.8066     0.5911     0.0047     0.0179   112.6693
    6.1150     6.0057   349.4815     0.0394    -0.0459    -0.9982     0.5909    -0.8045     0.0603    -0.8058    -0.5922    -0.0046     0.0649   112.7416
    6.1320     5.9865   348.9822     0.0132    -0.0102    -0.9999    -0.5921     0.8057    -0.0161     0.8057     0.5923     0.0046     0.2423   112.5510
    6.1265     5.9978   348.4829    -0.0233     0.0394    -0.9990    -0.5924     0.8043     0.0456     0.8053     0.5928     0.0046     0.0051   112.6536
    6.1147     6.0178   347.9835    -0.0239     0.0402    -0.9989     0.6001    -0.7986    -0.0465    -0.7996    -0.6005    -0.0051     0.0012   112.6586
